artista_id,artista_nome,popularidade,uri,seguidores,genero
6RC5tRbakJ46EExHuPmxzK,Celo1st,49,spotify:artist:6RC5tRbakJ46EExHuPmxzK,13367,['trap brasileiro']
6qfyniwgtYmjHxNTtJ0hKH,GUZ',13,spotify:artist:6qfyniwgtYmjHxNTtJ0hKH,316,[]
4yFJeWVY6IZLc5KcYCvtBE,G.A,60,spotify:artist:4yFJeWVY6IZLc5KcYCvtBE,92152,[]
24km46riM1Ch9H1eNDQcuX,Ryan Realcria,40,spotify:artist:24km46riM1Ch9H1eNDQcuX,21457,[]
3nfVTPYDnppERKGCRS4vim,PJ HOUDINI,52,spotify:artist:3nfVTPYDnppERKGCRS4vim,98005,['trap brasileiro']
5l8uNQWdIozojTbL2tzBa7,Jhowzin,42,spotify:artist:5l8uNQWdIozojTbL2tzBa7,37587,[]
3PLe9jQKKCodC1Q6kB5MdA,Bi$,21,spotify:artist:3PLe9jQKKCodC1Q6kB5MdA,964,[]
3ls0I42IWbgbZFnFCfi21m,2T,33,spotify:artist:3ls0I42IWbgbZFnFCfi21m,96003,"['trap carioca', 'trap funk']"
1oBkccDqIDMTntIIHKlJBp,Long beatz,48,spotify:artist:1oBkccDqIDMTntIIHKlJBp,42709,['trap brasileiro']
3TKi2ihPsE1ViCKxLKxQm7,Cave,43,spotify:artist:3TKi2ihPsE1ViCKxLKxQm7,20594,[]
0xKbHuoAoxvPu5uGax4d9l,Sotam,49,spotify:artist:0xKbHuoAoxvPu5uGax4d9l,47780,['trap brasileiro']
63nBMbY97bsURu2s0MvRGt,Drow Beats,25,spotify:artist:63nBMbY97bsURu2s0MvRGt,79,[]
6EU3PugukCcYs0n3JuXjrH,Cryzin,42,spotify:artist:6EU3PugukCcYs0n3JuXjrH,33092,['trap brasileiro']
1wYviDrVOvFPtg3CFn3DHp,Afreekassia,29,spotify:artist:1wYviDrVOvFPtg3CFn3DHp,14374,['rap feminino nacional']
1tbm8dDyvUKWMZPikJM7UR,G.a.B.o,29,spotify:artist:1tbm8dDyvUKWMZPikJM7UR,333,[]
47uUoDpXa9wZj4obYiDvT2,Igor Bz,22,spotify:artist:47uUoDpXa9wZj4obYiDvT2,5952,[]
6jzMs6d8ZBWusxRUCB04gh,Arthur Diniz,33,spotify:artist:6jzMs6d8ZBWusxRUCB04gh,13357,[]
20L3gYREq24KddkFreyiNv,Psirico,43,spotify:artist:20L3gYREq24KddkFreyiNv,464922,"['axe', 'pagode baiano']"
6E2st8OqIaS7PU5gj95FSE,1Kilo,57,spotify:artist:6E2st8OqIaS7PU5gj95FSE,4496821,['pop rap brasileiro']
4xcFNIVM3qTAXKmGRcBxx2,DoisP,38,spotify:artist:4xcFNIVM3qTAXKmGRcBxx2,679,[]
64xQ854jZk1zMWXNud2Crt,Funkero,46,spotify:artist:64xQ854jZk1zMWXNud2Crt,80973,['brazilian hip hop']
1FrO6hhB0YyDvFJMonSY9T,Caslu,30,spotify:artist:1FrO6hhB0YyDvFJMonSY9T,116,[]
5IpCG7K8h5YfPavIWLf2ne,Mozart Mz,35,spotify:artist:5IpCG7K8h5YfPavIWLf2ne,11810,[]
0DSySEdxjlahXmxW4x0fak,Malagueta mc,29,spotify:artist:0DSySEdxjlahXmxW4x0fak,4175,[]
4WbHbolEKZIhnkO2xv2Lm0,Pelé MilFlows,54,spotify:artist:4WbHbolEKZIhnkO2xv2Lm0,580758,"['brazilian hip hop', 'pop rap brasileiro', 'trap brasileiro']"
0kj68SnX4WCXwveyBbRX8p,MC Saci,72,spotify:artist:0kj68SnX4WCXwveyBbRX8p,305271,"['funk bh', 'funk mtg']"
6rygauyIMQJrXRC4e5rQJP,Davi Kneip,50,spotify:artist:6rygauyIMQJrXRC4e5rQJP,41068,"['agronejo', 'funk bh', 'funk consciente', 'funk mtg']"
2ZieriKz5skaKbl8mlt6hY,Mc Niel,33,spotify:artist:2ZieriKz5skaKbl8mlt6hY,27474,['funk carioca']
4CVIvdHpdkuoolMGDDiEYV,Gbzin,24,spotify:artist:4CVIvdHpdkuoolMGDDiEYV,1641,[]
2UMj7NCbuqy1yUZmiSYGjJ,MC Kevin o Chris,71,spotify:artist:2UMj7NCbuqy1yUZmiSYGjJ,2986509,"['funk 150 bpm', 'funk carioca', 'funk rj']"
0DJpGYLwnwr6CPnMvQvlBN,KOC,25,spotify:artist:0DJpGYLwnwr6CPnMvQvlBN,148,[]
4wwEIIZHZG4WFy0PfZnKTn,Mc Brunyn,37,spotify:artist:4wwEIIZHZG4WFy0PfZnKTn,2392,['rave funk']
