album_id,album_nome,album_tipo,data_lancamento,uri,artistas_nome,nr_musicas
3UJ1zsBjruMFymxRvyBkgT,Volver,album,2024-05-17,spotify:album:3UJ1zsBjruMFymxRvyBkgT,['36wFIGOzilPz03RSfP5Rl7'],12
3HuBoelQqiwD47mpONUHQw,Sambista Perfeito,album,2007-10-22,spotify:album:3HuBoelQqiwD47mpONUHQw,['096an3uS6ZaK2XySae6SqP'],15
6ime25jnzjF1foE0e5RCYB,Martinho da Vila,album,1974-03-30,spotify:album:6ime25jnzjF1foE0e5RCYB,['6rM2yY0GnVcOHMU5GD3y9E'],12
6WvN5lJoLYNXc8HYLuxjeX,Exagerado,album,1985,spotify:album:6WvN5lJoLYNXc8HYLuxjeX,['1PwOU6fFbmaGkK3wkbb8fU'],10
1ADQD0bAhwSQIwvt9aZldY,A Força do Nosso Som Continua (Ao Vivo),album,2019-08-31,spotify:album:1ADQD0bAhwSQIwvt9aZldY,"['6LWehyU6oi1UVgwp2PhVEZ', '3CDoRporvSjdzTrm99a3gi']",14
5SZ3V2KJ2TBfhez9Yz1PlW,A madrinha do samba ao vivo convida,album,2004-12-06,spotify:album:5SZ3V2KJ2TBfhez9Yz1PlW,"['56TkPi7rpmU8jTpkcK7FY3', '5Bn4jYRlfMfbxVwfPDGeL8']",19
3EVU0AnPTXK1scTVMrG8Sm,Ana E Jorge,album,2005-11-17,spotify:album:3EVU0AnPTXK1scTVMrG8Sm,['0i1s9WcIu0PrUvHzALgofo'],15
3LVFK1YwvyZMU1u20U2dMg,"Musica para Churrasco, Vol. 1",album,2011-10-01,spotify:album:3LVFK1YwvyZMU1u20U2dMg,['0i1s9WcIu0PrUvHzALgofo'],10
407BXjtKeKOoXstD6OG4zg,Tudo é festa,album,2018-09-28,spotify:album:407BXjtKeKOoXstD6OG4zg,['3ZJCmnY5iUo1M0UFFWDXGf'],15
4QUorwpHoxptxmWhAAxvPh,Funk Brasil Relíquias (Vol. 1),album,2017-05-12,spotify:album:4QUorwpHoxptxmWhAAxvPh,"['3ZJCmnY5iUo1M0UFFWDXGf', '2A34a0y7xLXf20pXZpbjCY']",16
7KtX29ipevTaki6lflOxsc,Uma História Assim,album,2016-11-11,spotify:album:7KtX29ipevTaki6lflOxsc,['1xKdiuYoOCM2oCMErUjvtq'],15
6j0eevSzWWuNeN9tkY5AZt,Pé Na Areia (Ao Vivo),single,2016-08-17,spotify:album:6j0eevSzWWuNeN9tkY5AZt,['57xRtfFlssbpntpRQOBodd'],2
1crN3RnAw8N6BztzuEAo8A,Tim Maia 1971,album,1971-01-04,spotify:album:1crN3RnAw8N6BztzuEAo8A,['0jOs0wnXCu1bGGP7kh5uIu'],12
3yfjzd2cnwMvwfk3L3zEsB,É Diferente (Ao Vivo),album,2007-02-10,spotify:album:3yfjzd2cnwMvwfk3L3zEsB,['1fUSLFr4WUBx7joEcGwpvG'],27
5LjiaU620s0bLVN0zf57O5,DANÇA PRA ME PROVOCAR,single,2023-09-14,spotify:album:5LjiaU620s0bLVN0zf57O5,"['1tPQcKxMrvf09Ry8zk68gt', '1pk1stIyHnuK6lXZ8QiNKt']",1
2PEn9XdR7UtrtNEXu9AtG4,Novo Millennium,album,2005-01-01,spotify:album:2PEn9XdR7UtrtNEXu9AtG4,['4avp60HMZY8XgYe7VGi4SU'],20
4kfDphlkuQ8lSNjrRcVdjB,Baile em Miami - EP,single,2013-05-21,spotify:album:4kfDphlkuQ8lSNjrRcVdjB,['1tTxuCABSKH8wBmE2Y7Odb'],6
5ZfSz6IVs85lm5zRxlvAZi,A Arte Do Barulho,album,2008-01-01,spotify:album:5ZfSz6IVs85lm5zRxlvAZi,"['1vEN3d3dJbmdHQpXD6AIkL', '52MnqrIGCqyidyL6ZkQraC']",11
12yiaZ3AAVe5ya5L5f6m1d,Músicas Para Churrasco (Vol. 2),album,2015-03-31,spotify:album:12yiaZ3AAVe5ya5L5f6m1d,['0i1s9WcIu0PrUvHzALgofo'],10
1eovr9DAPHocApu61z1ASQ,"Feliz, Alegre e Forte",single,2022-05-19,spotify:album:1eovr9DAPHocApu61z1ASQ,['0rSTXALHu0EKAawPLBdODH'],1
196Sp6RFxVhYFGYjACcsCG,Zero a Cem,single,2023-08-07,spotify:album:196Sp6RFxVhYFGYjACcsCG,"['6aMpeys8CsM9RuRR74RNMP', '0Ld8rJ0rdAEAi2oe6seDEp']",1
2wQCMH9zQ2KYDjhUmgIS4s,Rio,single,2019-02-22,spotify:album:2wQCMH9zQ2KYDjhUmgIS4s,"['0iZz25uH5PLaShpqq84uYv', '5WFFFHVqeVk5tLuYh2KjQy', '3rfM2cGqF6DB0kUyytMkXx', '5xYkM2vMrE23taj6tl7qkm', '5YwzDz4RJfTiMHS4tdR5Lf']",4
0bHwuzSVUWOloqSohIS69F,Meu Mundo,single,2018-02-02,spotify:album:0bHwuzSVUWOloqSohIS69F,"['2QjS2N6sORI7H4qbf6xitS', '1WQBwwssN6r8DSjUlkyUGW', '3DyjEI6EfW1JcJmBGtHiFq', '5xYkM2vMrE23taj6tl7qkm', '3rfM2cGqF6DB0kUyytMkXx']",1
3Vj7xdxkZg832MNCRvongO,Na Onda,single,2019-11-05,spotify:album:3Vj7xdxkZg832MNCRvongO,"['3rfM2cGqF6DB0kUyytMkXx', '2UMj7NCbuqy1yUZmiSYGjJ', '2NMYOlZHIEsSq7pp5jBjic']",1
2SCXhVkZ1QK3axqQHT7YtI,Relaxa E Fica,single,2019-07-21,spotify:album:2SCXhVkZ1QK3axqQHT7YtI,"['1MIG0PfunDzHfQkTMiWsbY', '1WQBwwssN6r8DSjUlkyUGW', '5mXYWM38dlAs01e3XQEtma']",1
4QnKMl7OAicnxWQh6qUyRY,"Pagode do Adame Entre Amigos, Vol. 1 (Ao Vivo)",album,2023-12-15,spotify:album:4QnKMl7OAicnxWQh6qUyRY,"['4GrG809bkgPIchC0oGU1Z0', '5midJ0agDR5PUU5QbBswDt']",10
2xcArGM32SN0HS6owAdKqg,Sorriso Eu Gosto No Pagode - Parte 2 (Ao Vivo),album,2023-11-08,spotify:album:2xcArGM32SN0HS6owAdKqg,"['1fUSLFr4WUBx7joEcGwpvG', '7rXMvXRnWHaSwnVvPeUUfw']",12
4Ym68agHC92MfdvlM5ohYP,Aos 45 (Ao Vivo),single,2023-07-14,spotify:album:4Ym68agHC92MfdvlM5ohYP,['09djLPsTydbIFC9duW5mQp'],1
