playlist_id,data_add,duracao,musica_id,musica_nome,popularidade,uri,album_id,artista_id
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,167245,0sqQxPgxgyZ1i54gfGmldQ,Até Que a Internet nos Separe,36,spotify:track:0sqQxPgxgyZ1i54gfGmldQ,1ebEKaqrsF8cAKgyhoJSy9,"['0kj68SnX4WCXwveyBbRX8p', '6rygauyIMQJrXRC4e5rQJP', '2ZieriKz5skaKbl8mlt6hY']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,81702,4VtclmOQEtT4wCfMnzjprU,Sarra na Glock,34,spotify:track:4VtclmOQEtT4wCfMnzjprU,5U2YIrsp6IcLSFFmeYhmuO,"['4CVIvdHpdkuoolMGDDiEYV', '2UMj7NCbuqy1yUZmiSYGjJ', '0DJpGYLwnwr6CPnMvQvlBN']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,208221,71ehL9Q2NjBH9nJanZOJQj,Set DJ Huguinho #01,21,spotify:track:71ehL9Q2NjBH9nJanZOJQj,1I7EalZull9uExJUT1NePX,"['4wwEIIZHZG4WFy0PfZnKTn', '5ni65R3Lu8gNiQEHN6Gspw', '5wexipxdAAr4K9TSxP9tt3', '7FqfJqrsIOjZU2mjWIY1MB']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,157714,0S7Vwa5qvtRyWum2LWtjrP,Nem sei,22,spotify:track:0S7Vwa5qvtRyWum2LWtjrP,73PDX2aGlYnBR7oHjfiiGJ,"['7JswWkHCTMyEgHlNXOvK6p', '3Z3KpO4RqycQD8f4hfnT3g', '3eegqYNOBDWAuQME8S5W1q']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,197245,04n7tyKeza5S9hMcfAyfOL,Hydro,38,spotify:track:04n7tyKeza5S9hMcfAyfOL,6Hjse8kk66fhGKTTU7E0wK,"['68wF4X9K8JFav3YlPFtsR2', '5CFIBhFm7Ndt7xVCBwwlrF']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,162046,7FlXnI3sl6Ekda8B8hvx6H,Ímã de Piranha,27,spotify:track:7FlXnI3sl6Ekda8B8hvx6H,5fFweKRo0UDxLbdmaNW2jE,"['0FoX5QU1aUxCGGMmrhrHok', '1ZcIMjx9kP46pUdFOdjWKQ', '46X4pYJUu5L7QsDIa3EP6t']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,125413,26EiyGpQ8Ct1DP470r2acc,Banco Do Corolla,24,spotify:track:26EiyGpQ8Ct1DP470r2acc,6Lm4UHzxiOunk2TiNp3G2d,"['14jVHWj9dqpLhs8hHEMnyJ', '5cS7sjRxRrlA7v6uWpEoTb']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,174000,6U1k3LaydtAXwNp7YbSp5r,Inseguro,22,spotify:track:6U1k3LaydtAXwNp7YbSp5r,3k9K76KW1hZYow6KHudk3Y,['67PBrqP0nECUumF2AQ8G6S']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,261713,4kSohV1ktNWYuCoKinC7TP,No Todo,20,spotify:track:4kSohV1ktNWYuCoKinC7TP,3rGJ6cgVnFrVNPltdYd3q4,"['0hUnMWEMD2Om6juG3dBJTE', '42xf1iqSOZluDWJ8RW2B9H', '1CQPPiPRlXbiMvDBO67c6w', '2ECTJpRqtJ5BbavpnhHT01']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,228631,7DmmaG43Jq3rZUDR3bITqD,Sem Saber Seu Nome,24,spotify:track:7DmmaG43Jq3rZUDR3bITqD,3a63XpQ1GsZ55I6KRNY0vh,['3iEB8nwJu246B3fN4zPuqW']
